Mimosa_ID,pre
plot 01_A1,1
plot 01_A2,1
plot 01_A3,1
plot 01_A4,1
plot 01_A5,1
plot 02_A1,1
plot 02_A2,1
plot 02_A3,1
plot 03_A1,1
plot 03_A2,1
plot 03_A3,1
plot 03_A4,1
plot 03_A5,1
plot 04_A1,1
plot 04_A2,1
plot 04_A3,1
plot 04_A4,1
plot 04_A5,1
plot 05_A1,1
plot 05_A2,1
plot 05_A3,1
plot 05_A4,1
plot 05_A5,1
plot 06_A1,1
plot 06_A2,1
plot 06_A3,1
plot 07_A1,1
plot 07_A2,1
plot 07_A3,1
plot 07_A4,1
plot 07_A5,1
plot 08_A1,1
plot 08_A2,1
plot 08_A3,1
plot 09_A1,1
plot 09_A2,1
plot 09_A3,1
plot 10_A1,1
plot 10_A2,1
plot 10_A3,1
plot 10_A4,1
plot 11_A1,1
plot 11_A2,1
plot 11_A3,1
plot 11_A4,1
plot 12_A1,1
plot 12_A2,1
plot 12_A3,1
plot 12_A4,1
plot 13_A1,1
plot 13_A2,1
plot 13_A3,1
plot 13_A4,1
plot 13_A5,1
plot 14_A1,1
plot 14_A2,1
plot 14_A3,1
plot 15_A1,1
plot 15_A2,1
plot 15_A3,1
plot 15_A4,1
plot 15_A5,1
plot 15_A6,1
plot 16_A1,1
plot 16_A2,1
plot 16_A3,1
plot 16_A4,1
plot 16_A5,1
plot 16_A6,1
plot 16_A7,1
plot 17_A1,1
plot 17_A2,1
plot 17_A3,1
plot 17_A4,1
plot 17_A5,1
plot 17_A6,1
plot 18_A1,1
plot 18_A2,1
plot 18_A3,1
plot 18_A4,1
plot 18_A5,1
plot 18_A6,1
plot 19_A1,1
plot 19_A2,1
plot 19_A3,1
plot 19_A4,1
plot 19_A5,1
plot 20_A1,1
plot 20_A2,1
plot 20_A3,1
plot 20_A4,1
plot 20_A5,1
plot 21_A1,1
plot 21_A2,1
plot 21_A3,1
plot 21_A4,1
plot 22_A1,1
plot 22_A2,1
plot 22_A3,1
plot 22_A4,1
plot 22_A5,1
plot 22_A6,1
plot 23_A1,1
plot 23_A2,1
plot 23_A3,1
plot 23_A4,1
plot 24_A1,1
plot 24_A2,1
plot 24_A3,1
plot 24_A4,1
plot 25_A1,1
plot 25_A2,1
plot 25_A3,1
plot 25_A4,1
plot 26_A1,1
plot 26_A2,1
plot 26_A3,1
plot 26_A4,1
plot 27_A1,1
plot 27_A2,1
plot 27_A3,1
plot 27_A4,1
plot 28_A1,1
plot 28_A2,1
plot 28_A3,1
plot 28_A4,1
plot 29_A1,1
plot 29_A2,1
plot 29_A3,1
plot 29_A4,1
plot 30_A1,1
plot 30_A2,1
plot 30_A3,1
plot 30_A4,1
plot 30_A5,1
Plot 01_B1,1
Plot 01_B2,1
Plot 01_B3,1
Plot 01_B4,1
Plot 01_B5,1
Plot 01_B6,1
Plot 01_B7,1
Plot 01_B8,1
Plot 02_B1,1
Plot 02_B2,1
Plot 02_B3,1
Plot 02_B4,1
Plot 02_B5,1
Plot 02_B6,1
Plot 02_B7,1
Plot 02_B8,1
Plot 03_B1,1
Plot 03_B2,1
Plot 03_B3,1
Plot 03_B4,1
Plot 03_B5,1
Plot 03_B6,1
Plot 03_B7,1
Plot 04_B1,1
Plot 04_B2,1
Plot 04_B3,1
Plot 04_B4,1
Plot 04_B5,1
Plot 04_B6,1
Plot 04_B7,1
Plot 05_B1,1
Plot 05_B2,1
Plot 05_B3,1
Plot 05_B4,1
Plot 05_B5,1
Plot 05_B6,1
Plot 05_B7,1
Plot 05_B8,1
Plot 06_B1,1
Plot 06_B2,1
Plot 06_B3,1
Plot 06_B4,1
Plot 06_B5,1
Plot 06_B6,1
Plot 07_B1,0
Plot 07_B2,0
Plot 07_B3,0
Plot 07_B4,0
Plot 07_B5,0
Plot 07_B6,0
Plot 07_B7,0
Plot 07_B8,0
Plot 08_B1,1
Plot 08_B2,1
Plot 08_B3,1
Plot 08_B4,1
Plot 08_B5,1
Plot 09_B1,1
Plot 09_B2,1
Plot 09_B3,1
Plot 09_B4,1
Plot 09_B5,1
Plot 09_B6,1
Plot 09_B7,1
Plot 09_B8,1
Plot 10_B1,1
Plot 10_B2,1
Plot 10_B3,1
Plot 10_B4,1
Plot 10_B5,1
Plot 10_B6,1
Plot 11_B1,0
Plot 11_B2,0
Plot 11_B3,0
Plot 11_B4,0
Plot 11_B5,0
Plot 11_B6,0
Plot 12_B1,1
Plot 12_B2,1
Plot 12_B3,1
Plot 12_B4,1
Plot 12_B5,1
Plot 12_B6,1
Plot 13_B1,1
Plot 13_B2,1
Plot 13_B3,1
Plot 13_B4,1
Plot 13_B5,1
Plot 14_B1,1
Plot 14_B2,1
Plot 14_B3,1
Plot 14_B4,1
Plot 14_B5,1
Plot 14_B6,1
Plot 14_B7,1
Plot 14_B8,1
Plot 15_B1,1
Plot 15_B2,1
Plot 15_B3,1
Plot 15_B4,1
Plot 15_B5,1
Plot 15_B6,1
Plot 16_B1,0
Plot 16_B2,0
Plot 16_B3,0
Plot 16_B4,0
Plot 17_B1,1
Plot 17_B2,1
Plot 17_B3,1
Plot 17_B4,1
Plot 18_B1,1
Plot 18_B2,1
Plot 18_B3,1
Plot 18_B4,1
Plot 18_B5,1
Plot 18_B6,1
Plot 19_B1,0
Plot 19_B2,0
Plot 19_B3,0
Plot 19_B4,0
Plot 19_B5,0
Plot 19_B6,0
Plot 19_B7,0
Plot 20_B1,0
Plot 20_B2,0
Plot 20_B3,0
Plot 20_B4,0
Plot 20_B5,0
Plot 21_B1,1
Plot 21_B2,1
Plot 21_B3,1
Plot 21_B4,1
Plot 21_B5,1
Plot 22_B1,1
Plot 22_B2,1
Plot 22_B3,1
Plot 22_B4,1
Plot 22_B5,1
Plot 22_B6,1
Plot 23_B1,1
Plot 23_B2,1
Plot 23_B3,1
Plot 23_B4,1
Plot 24_B1,1
Plot 24_B2,1
Plot 24_B3,1
Plot 24_B4,1
Plot 24_B5,1
Plot 25_B1,1
Plot 25_B2,1
Plot 25_B3,1
Plot 25_B4,1
Plot 25_B5,1
Plot 25_B6,1
Plot 26_B1,1
Plot 26_B2,1
Plot 26_B3,1
Plot 26_B4,1
Plot 27_B1,1
Plot 27_B2,1
Plot 27_B3,1
Plot 27_B4,1
Plot 27_B5,1
Plot 27_B6,1
Plot 28_B1,1
Plot 28_B2,1
Plot 28_B3,1
Plot 28_B4,1
Plot 28_B5,1
Plot 28_B6,1
Plot 29_B1,1
Plot 29_B2,1
Plot 29_B3,1
Plot 29_B4,1
Plot 30_B1,1
Plot 30_B2,1
Plot 30_B3,1
Plot 30_B4,1
